id,name,parent_id
550,Dewangonj,71
551,Sarishabari,71
552,Madarganj,71
553,Bokshiganj,71
554,Barhatta,72
555,Durgapur,72
556,Kendua,72
557,Atpara,72
558,Madan,72
559,Khaliajuri,72
560,Kalmakanda,72
561,Mohongonj,72
562,Purbadhala,72
563,Netrokona Sadar,72
